变量,variable,variable_label,variable_type,detail,given_attributes,comments
变量1,ID,个人ID,continuous,识别变量,,
变量2,householdID,户口ID,continuous,,,
变量3,communityID,社区ID,continuous,,,
变量4,age,年龄,continuous,,,
变量5,gender,性别,binary,1=男 2=女（无等级）,yes,
变量6,address_type,居住类型,multiclass,"1 = 城市住宅
2 = 农村住宅
3 = 养老院/疗养院
4 = 其他（无等级）",yes,
变量7,address_urban_or_rural,居住位置（城乡）,multiclass,"1 = 主城区
2 = 城乡结合部
3 = 镇中心
4 = 镇乡
5 = 特殊区域
6 = 乡中心
7 = 村庄（无等级）",yes,
变量9,literate,识字,binary,"1=识字
0=文盲",,
变量10,martial_status,婚姻状况,multiclass,"1 = 已婚与配偶一同居住
2 = 已婚但配偶暂时不在一起居住
3 = 已婚但配偶在外地工作
4 = 离异
5 = 丧偶
6 = 从未结婚
7 = 同居",yes,
变量11,education_level,学历,multiclass,"1=文盲
2=未读完小学
3=私塾毕业
4=小学毕业
5=初中毕业
6=高中毕业
7 =中专（包括中等师范、职高）毕业
8=大专毕业
9=本科毕业
10=硕士毕业
11=博士毕业",yes,
变量12,bp_sbp,收缩压,continuous,,,
变量13,bp_dbp,舒张压,continuous,,,
变量14,pulse,脉搏,continuous,,,
变量15,abnormal_pulse,脉搏异常,binary,"1=脉搏异常
0=脉搏正常",,还需要计算
变量16,bmi,BMI,continuous,,,
变量17,waist_circumference,腰围,continuous,,,
变量18,white_blood_cell,白细胞,continuous,,,
变量19,hematocrit,红血球容积,continuous,,,
变量20,mean_corpuscular_volume,平均体液容积（毫升）,continuous,,,
变量21,platelets,血小板,continuous,,,
变量22,triglycerides,甘油三酯（毫克/分升）,continuous,,,
变量23,top_coding_triglycerides_to_500,甘油三酯最大值是否为500,binary,"1=甘油三酯最大值大于等于500
0=甘油三酯最大值小于500",,
变量24,creatinine,肌酐（毫克/分升）,continuous,,,
变量25,blood_urea_nitrogen,血尿素氮,continuous,,,
变量26,hdl_cholesterol,高密度脂蛋白,continuous,,,
变量27,ldl_cholesterol,低密度脂蛋白,continuous,,,
变量28,total_cholesterol,总胆固醇,continuous,,,
变量29,glucose,血糖,continuous,,,
变量30,uric_acid,尿酸,continuous,,,
变量31,cystatin_c,胱抑素C,continuous,,,
变量32,c_reactive_protein,C反应蛋白,continuous,,,
变量33,glycated_hemoglobin,糖化血红蛋白,continuous,,,
变量34,biological_parents_alive,亲生父母是否健在,binary,"1=亲生父母健在
0=亲生父母去世",,
变量35,spouse_biological_parents_alive,配偶亲生父母是否健在,binary,"1=配偶亲生父母健在
0=配偶亲生父母去世（",,
变量36,num_children,子女总数,count,,,
变量37,num_children_dead,去世子女总数,count,,,
变量38,num_children_married,已婚同居状态子女数,count,,,
变量39,number_grandchildren_great_grandchildren,孙辈及以下孩子人数,count,,,还需要计算
变量40,takecare_grandchildren,是否带孙子,binary,"1=带孙子
0=不需要带孙子",,
变量41,takecare_parents,是否照顾父母,binary,"1=需要照顾父母
0=不需照顾父母",,
变量43,number_medical_insurance,参加医保数量,count,,,
变量44,undergone_physicalexamination_past_two_years,最近两年是否参加体检,binary,"1=参加体检
0=未参加体检",,
变量45,ill_lastmonth,上月生病,binary,"1=上月生病
0=上月未生病",,
变量46,times_visited_outpatient,去门诊的次数,count,,,
变量47,emergency_outpatient,上次门诊是否是急诊,binary,"1=急诊就医
0=非急诊就医",,
变量48,times_inpatientcare_pastyear,去年住院次数,continuous,,,
变量49,payfor_inpatientcare_pastyear,住院付费,binary,"1=住院付费
0=住院无需付费",,
变量50,self_payfor_inpatientcare,住院付费自我,binary,"1=住院需自费
0=住院无需自费",,
变量51,nights_inpatientcare,住院天数,continuous,,,
变量52,self_treatment,是否自我治疗,binary,"1=需要自我治疗
0=不需要自我治疗",,
变量53,amount_cost_self_treatment,自我治疗花费,continuous,,,
变量54,amount_self_cost_self_treatment,自我治疗自费金额,continuous,,,
变量55,times_dentalcare,去年看牙医次数,count,,,
变量56,cost_dentalcare,去年看牙医付费金额,continuous,,,
变量57,amount_self_cost_dentalcare,牙医自我付费金额,continuous,,,
变量58,satisfaction_healthcare,医疗满意度,ordinal,"1=非常满意
2=满意
3=一般
4=不满意
5=非常不满意（1>2>3>4>5）",yes,
变量59,physical_disability,躯体残疾,binary,"1=躯体残疾
0=没有躯体残疾",,
变量60,dumb_severe_stuttering,哑或严重口吃,binary,"1=哑或口吃
0=没有哑或口吃",,
变量61,year_physical_disability,躯体残疾年,count,,,
变量62,year_dumb_severe_stuttering,哑或严重口吃年,count,,,
变量63,treat_hypertension ,高血压治疗情况,ternary,"2=有高血压不治疗
1=有高血压治疗
0=没有高血压",yes,
变量64,treat_dyslipidemia ,血脂异常治疗情况,ternary,"2=有血脂异常不治疗
1=有血脂异常治疗
0=没有血脂异常",yes,
变量65,treat_diabetes ,糖尿病治疗情况,ternary,"2=有糖尿病不治疗
1=有糖尿病治疗
0=没有糖尿病",yes,
变量66,treat_chronic_lung_disease ,慢性肺部疾病治疗情况,ternary,"2=有慢性肺部疾病不治疗
1=有慢性肺部疾病治疗
0=没有慢性肺部疾病（2<1<0）",yes,
变量67,treat_liver_disease ,肝脏疾病治疗情况,ternary,"2=有肝脏疾病不治疗
1=有肝脏疾病治疗
0=没有肝脏疾病",yes,
变量68,treat_heart_disease ,心脏病治疗情况,ternary,"2=有心脏病不治疗
1=有心脏病治疗
0=没有心脏病",yes,
变量69,treat_stroke ,中风治疗情况,ternary,"2=有中风不治疗
1=有中风治疗
0=没有中风",yes,
变量70,treat_kidney_disease ,肾脏疾病治疗情况,ternary,"2=有肾脏疾病不治疗
1=有肾脏疾病治疗
0=没有肾脏疾病",yes,
变量71,treat_digestive_system_disease ,消化系统疾病治疗情况,ternary,"2=有消化系统疾病不治疗
1=有消化系统疾病治疗
0=没有消化系统疾病",yes,
变量72,treat_emotional_and_mental_issues ,情感及精神问题治疗情况,ternary,"2=有情感及精神问题不治疗
1=有情感及精神问题治疗
0=没有情感及精神问题）",yes,
变量73,treat_diseases_related_to_memory ,与记忆相关的疾病治疗情况,ternary,"2=有与记忆相关的疾病不治疗
1=有与记忆相关的疾病治疗
0=没有与记忆相关的疾病）",yes,
变量74,treat_diseases_arthritis,关节炎或风湿病治疗情况,ternary,"2=有关节炎或风湿病不治疗
1=有关节炎或风湿病治疗
0=没有关节炎或风湿病",yes,
变量75,treat_cancer ,癌症治疗情况,ternary,"2=有癌症不治疗
1=有癌症治疗
0=没有癌症",yes,
变量76,number_chronic_disease,慢性病数量,count,,,
变量77,year_hypertension ,高血压年,continuous,,,
变量78,year_dyslipidemia ,血脂异常年,continuous,,,
变量79,year_diabetes ,糖尿病年,continuous,,,
变量80,year_cancer ,癌症年,continuous,,,
变量81,year_chronic_lung_disease ,慢性肺部疾患年,continuous,,,
变量82,year_liver_disease ,肝脏疾病年,continuous,,,
变量83,year_heart_disease ,心脏病年,continuous,,,
变量84,year_stroke ,中风年,continuous,,,
变量85,year_kidney_disease ,肾脏疾病年,continuous,,,
变量86,year_digestive_system_disease ,消化系统疾病年,continuous,,,
变量87,year_emotional_and_mental_issues ,情感及精神问题年,continuous,,,
变量88,year_diseases_related_to_memory ,与记忆相关的疾病年,continuous,,,
变量89,year_diseases_arthritis ,关节炎或风湿病年,continuous,,,
变量90,year_asthma ,哮喘年,continuous,,,
变量91,health_compared,健康变化,ordinal,"1=更好了
2=差不多
3=更差了（1>2>3）",yes,
变量92,control_hypertension,血压控制,binary,"1=血压控制好
0=血压控制不好",,
变量93,control_diabetes,血糖控制,binary,"1=血糖控制好
0=血糖控制不好",,
变量94,times_exam_bp,测血压频率,count,,,
变量95,blood_glucose_test_often,测血糖频率,count,,,
变量96,heart_attack_year,心脏病发作年,count,,,
变量97,number_cancer,癌症数量,count,,,
变量98,traffic_accident_major_accidental_injury,交通事故重大意外伤害,binary,"1=发生交通事故重大意外伤害
0=未发生交通事故重大意外伤害",,
变量99,injury_limit_daily_activities,伤害影响日常,binary,"1=伤害影响日常
0=伤害未影响日常",,
变量100,times_fallen_down,跌倒次数,count,,,
变量101,fractured_hip,髋部骨折,binary,"1=发生髋部骨折
0=未发生髋部骨折",,
变量102,menopause,是否绝经,ternary,"2=男性
1=女性绝经
0=女性未绝经",yes,
变量103,prostate_illness_age,前列腺疾病年数,count,,,
变量104,treat_prostate_illness,治疗前列腺（ternary）,ternary,"2=有前列腺疾病不治疗
1=有前列腺疾病治疗
0=没有前列腺疾病",yes,
变量105,cataract_surgery,白内障手术,binary,"1=经历白内障手术
0=没有经历白内障手术",,
变量106,treat_glaucoma,青光眼治疗,binary,"1=经历青光眼治疗
0=没有经历青光眼治疗",,
变量107,noteeth,没有牙齿,binary,"1=没有牙齿
0=有牙齿",,
变量108,glaucoma,青光眼,binary,"1=青光眼
0=没有青光眼",,
变量109,pain,疼痛,binary,"1=发生疼痛
0=没有疼痛",,
变量110,pain_head,头,binary,"1=头痛
0=没有头痛",,
变量111,pain_shoulder ,肩膀,binary,"1=肩膀痛
0=没有肩膀痛",,
变量112,pain_arm ,胳膊,binary,"1=胳膊痛
0=没有胳膊痛",,
变量113,pain_wrist,手腕,binary,1=手腕痛0=没有手腕痛,,
变量114,pain_fingers ,手指,binary,"1=手指痛
0=没有手指痛",,
变量115,pain_chest ,胸,binary,"1=胸痛
0=没有胸痛",,
变量116,pain_stomach,胃,binary,"1=胃痛
0=没有胃痛",,
变量117,pain_back ,背,binary,1=背痛0=没有背痛,,
变量118,pain_waist,腰,binary,"1=腰痛
0=没有腰痛",,
变量119,pain_buttocks,臀部,binary,"1=臀部痛
0=没有臀部痛",,
变量120,pain_leg ,腿,binary,"1=腿痛
0=没有腿痛",,
变量121,pain_knees ,膝盖,binary,"1=膝盖痛
0=没有膝盖痛",,
变量122,pain_ankle,脚踝,binary,"1=脚踝痛
0=没有脚踝痛",,
变量123,pain_toes ,脚趾,binary,"1=脚趾痛
0=没有脚趾痛",,
变量124,pain_neck, 脖子,binary,"1=脖子痛
0=没有脖子痛",,
变量125,pain_other,其它部位,binary,"1=其他部位痛
0=没有其他部位痛",,
变量126,number_pain_locations,疼痛数量,count,,,
变量127,treat_pain,疼痛治疗情况,ternary,"0=没有疼痛
1=有疼痛治疗
2=有疼痛不治疗",yes,
变量128,others_diseases,其他疾病,binary,"1=有其他疾病
0=没有其他疾病",,
变量129,childhood_health,童年健康,ordinal,"1=优秀
2=非常好
3=良好
4=一般
5=差（1>2>3>4>5）",yes,
变量130,self_assessed_health_status_excellent,自评健康（优秀）,ordinal,"1=优秀
2=非常好
3=良好
4=一般
5=差（1>2>3>4>5）",yes,
变量131,health_satisfaction,健康满意度,ordinal,"1=完全满意
2=非常满意
3=一般满意
4=不太满意
5=完全不满意（1>2>3>4>5）",yes,
变量132,marriage_satisfaction,婚姻满意度,multiclass,"1=完全满意
2=非常满意
3=一般满意
4=不太满意
5=完全不满意
6=没有配偶",yes,这个没有配偶算什么等级？：算分类变量吧
变量133,children_satisfaction,亲子满意度,multiclass,"1=完全满意
2=非常满意
3=一般满意
4=不太满意
5=完全不满意
6=没有孩子",yes,这个没有孩子算什么等级？：算分类变量吧
变量134,life_satisfaction,生活满意度,ordinal,"1=完全满意
2=非常满意
3=一般满意
1=不太满意
0=完全不满意（1>2>3>4>5）",yes,
变量135,amount_high_exercise,高强度运动,continuous,0\1\2\3\4\5\6\7\8\9\10\12\14\15\16\18\20\21\24\28(越大越好),,
变量136,amount_moderate_exercise,中等强度运动,continuous,0\1\2\3\4\5\6\7\8\9\10\12\14\15\16\18\20\21\28(越大越好),,
变量137,amount_low_exercise,低强度运动,continuous,0\1\2\3\4\5\6\7\8\9\10\12\14\15\16\18\20\21\24\28(越大越好),,
变量138,number_social_activities,社交活动数量,count,,,
变量139,internet_use,互联网使用,binary,"1=使用互联网
0=不使用互联网",,
变量140,devices_internet_use,互联网使用设备数量,count,,,
变量141,frequency_social_activities,社交活动频率,count,,,
变量142,smoke,抽烟,binary,"1=抽烟
0=不抽烟",,
变量143,status_smoke,抽烟情况（ternary）,ternary,"0=不抽烟
1=抽烟已戒
2=抽烟未戒",yes,
变量144,number_smoke,抽烟数量,count,,,
变量145,year_smoke,抽烟年数,count,,,
变量146,drink,饮酒,binary,"1=饮酒
0=不饮酒",,
变量147,drink_status,饮酒情况（ternary）,ternary,"0=不饮酒
1=饮酒已戒
2=饮酒未戒",yes,
变量148,year_drink,饮酒年数,count,,,
变量149,pay_help,照顾花费,continuous,,,
变量150,use_assistive_devices,使用辅具,binary,"1=使用辅具
0=不使用辅具",,
变量151,formal_caregivers,正式照顾者,binary,"1=有正式照顾者
0=没有有正式照顾者",,
变量152,fee_formal_caregivers,正式照顾者费用,continuous,,,
变量153,time_formal_caregivers,正式照顾者时间,continuous,,,
变量154,elevator,电梯,binary,"1=有电梯
0=没有电梯",,
变量155,handicapped_facilities,残疾人设施,binary,"1=有残疾人设施
0=没有残疾人设施",,
变量156,steps ,阶梯,binary,"1=有阶梯
0=没有阶梯",,
变量157,toilet_seat,厕所坐便,binary,"1=有厕所坐便
0=没有厕所坐便",,
变量158,running_water,自来水,binary,1=有自来水0=没有自来水,,
变量159,hot_water,热水,binary,"1=有热水
0=没有热水",,
变量160,gas,煤气天然气,binary,"1=有煤气天然气
0=没有煤气天然气",,
变量161,heating,暖气,binary,"1=有暖气
0=没有暖气",,
变量162,telephone,电话,binary,"1=有电话
0=没有电话",,
变量163,internet,网线,binary,"1=有网线
0=没有网线",,
变量164,air_cleaner,空气清新器,binary,"1=有空气清新器
0=没有空气清新器",,
变量165,environmentally_friendly,环境友好占比,continuous,,,
