variable,label,include,comments,,,,,,,,,,,,,,,,,,,,,,,
ID,Individual ID,yes,,,,,,,,,,,,,,,,,,,,,,,,
householdID.x,Household ID,yes,,,,,,,,,,,,,,,,,,,,,,,,
communityID.x,Community ID,yes,,,,,,,,,,,,,,,,,,,,,,,,
pa001,Any Problems Prevent Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
pa002,Understand The Directions or Not,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s1,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s2,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s3,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s4,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s5,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s6,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s7,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s8,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa001s97,Why Didn't R Complete Blood Pressure Measurement,no,,,,,,,,,,,,,,,,,,,,,,,,
qa002,Measure time_minute,no,,,,,,,,,,,,,,,,,,,,,,,,
qa002_1,Measure Time_Hour,no,,,,,,,,,,,,,,,,,,,,,,,,
qa003,Systolic Reading,yes,按3次平均值,,,,,,,,,,,,,,,,,,,,,,,
qa004,Diastolic Reading,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa005,PULSE,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa006,Measure time_hour,no,,,,,,,,,,,,,,,,,,,,,,,,
qa006_1,Measure time_minute,no,,,,,,,,,,,,,,,,,,,,,,,,
qa007,Systolic Reading,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa008,Diastolic Reading,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa009,PULSE,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa010,Measure time_hour,no,,,,,,,,,,,,,,,,,,,,,,,,
qa010_1,Measure time_minute,no,,,,,,,,,,,,,,,,,,,,,,,,
qa011,Systolic Reading,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa012,Diastolic Reading,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa013,PULSE,yes,,,,,,,,,,,,,,,,,,,,,,,,
qa014,Which Arm?,no,量血压手臂需不需要考虑,,,,,,,,,,,,,,,,,,,,,,,
qa015,How compliant,no,,,,,,,,,,,,,,,,,,,,,,,,
qa016,R's Position,no,体位不用管吧,,,,,,,,,,,,,,,,,,,,,,,
qa017,"smoke, exercise, consume alcohol or food",no,不用管这个,,,,,,,,,,,,,,,,,,,,,,,
pb001,UNDERSTAND THE DIRECTIONS OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s1,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s2,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s3,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s4,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s5,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s6,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s7,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s8,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb001s97,Why Didn't R Complete Breathing Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qb002,Measurement Reading-1,no,,,,,,,,,,,,,,,,,,,,,,,,
qb003,Measurement Reading-2,no,,,,,,,,,,,,,,,,,,,,,,,,
qb004,Measurement Reading-3,no,,,,,,,,,,,,,,,,,,,,,,,,
